respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
222,2,46,16,8,12,16,Business administration,NA,High school diploma,Female,3,Working parttime,8,NA,Someone else,Government,Secretaries and administrative assistants,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Oppose,Legal,None,NA,NA,Pretty happy,Fair,Routine,Ballot c,Too little,Too little,4,Refused,(Missing),NA,23,Democrat,Extremely liberal,NA,NA,NA,NA
223,3,51,12,0,0,17,NA,NA,Ged,Male,7,Working parttime,30,NA,Someone else,Private,"Entertainers and performers, sports and related workers, all other",Married,Marriage between a man and a woman,White,No,NA,Favor,NA,Protestant,No denomination,NA,Very happy,Excellent,Exciting,Ballot a,Too little,Too much,3,$25000 or more,(Missing),NA,193,Democrat,Moderate,NA,NA,NA,20
224,0,28,14,14,NA,NA,NA,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Private,Heavy vehicle and mobile equipment service technicians and mechanics,Never married,NA,Black,Yes,Govt reduce diff,Oppose,Legal,Protestant,No denomination,NA,Not too happy,Fair,Routine,Ballot c,About right,About right,3,$25000 or more,$25000 or more,NA,193,Democrat,Conservative,About right,About right,Too little,NA
225,5,74,16,6,12,NA,Criminology/criminal justice,NA,High school diploma,Male,4,Working parttime,16,NA,Someone else,Private,"Models, demonstrators, and product promoters",Divorced,NA,Other,Yes,NA,Favor,NA,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot a,About right,Too little,1,$25000 or more,$8000 to 9999,NA,193,Independent,Moderate,About right,About right,About right,NA
226,2,29,15,NA,14,NA,NA,NA,High school diploma,Female,2,Working parttime,30,NA,Someone else,Private,Cooks,Never married,NA,White,Yes,4,Oppose,Legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,4,$25000 or more,$10000 - 14999,NA,74,NA,Moderate,Too much,Too little,Too little,NA
227,Eight or more,49,11,5,5,6,NA,NA,NA,Male,6,"Unempl, laid off",NA,NA,Someone else,Private,"Shipping, receiving, and traffic clerks",Married,Marriage between a man and a woman,Other,No,NA,Favor,NA,Catholic,NA,NA,Very happy,Good,Exciting,Ballot a,About right,Too much,6,$25000 or more,$15000 - 19999,NA,74,Independent,Liberal,NA,NA,NA,35
228,0,28,17,14,20,NA,Child/human/family development,NA,High school diploma,Female,2,Working fulltime,20,NA,Someone else,Private,Food preparation workers,Never married,NA,White,Yes,2,Oppose,Legal,Protestant,United methodist,NA,Pretty happy,Fair,Routine,Ballot c,About right,About right,2,$25000 or more,$25000 or more,NA,74,Independent,Slightly liberal,Too little,Too little,Too little,NA
229,4,48,12,10,12,NA,NA,NA,High school diploma,Female,4,Keeping house,NA,NA,Someone else,Private,Retail salespersons,Separated,NA,White,Yes,4,Favor,NA,Catholic,NA,NA,Not too happy,NA,NA,Ballot b,Too little,Too much,4,$25000 or more,(Missing),NA,74,Independent,Slghtly conservative,NA,NA,NA,NA
230,1,24,12,4,12,NA,NA,NA,High school diploma,Female,3,Working parttime,25,NA,Someone else,Private,"Combined food preparation and serving workers, including fast food",Never married,NA,White,Yes,Govt reduce diff,Oppose,Legal,Protestant,No denomination,NA,Very happy,NA,NA,Ballot b,Too little,About right,3,$25000 or more,(Missing),NA,74,Independent,Moderate,About right,Too little,Too little,NA
231,1,51,15,NA,8,NA,Business administration,NA,High school diploma,Female,7,Working fulltime,70,NA,Self-employed,Private,Food service managers,Divorced,NA,Other,No,No govt action,Oppose,Legal,Protestant,No denomination,NA,Very happy,Excellent,Exciting,Ballot c,About right,Too little,1,$25000 or more,$8000 to 9999,NA,74,Independent,Moderate,NA,About right,Too much,23
232,2,42,16,12,12,NA,Business administration,NA,High school diploma,Female,4,Working fulltime,40,NA,Someone else,Private,Accountants and auditors,Divorced,NA,White,Yes,5,Favor,Not legal,Protestant,Baptist-dk which,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,$25000 or more,NA,69,NA,Conservative,Too little,About right,Too little,NA
233,3,44,17,20,16,18,Engineering,NA,High school diploma,Male,5,Working fulltime,60,NA,Someone else,Private,"Engineering technicians, except drafters",Married,Marriage between a man and a woman,Black,No,3,Favor,Not legal,Catholic,NA,NA,Very happy,Good,Exciting,Ballot c,About right,About right,2,Refused,Refused,NA,69,NA,Moderate,Too little,Too little,Too much,16
234,0,33,12,NA,14,12,NA,NA,High school diploma,Female,3,Keeping house,NA,NA,Self-employed,Private,Retail salespersons,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Very happy,Good,Exciting,Ballot a,About right,About right,2,$25000 or more,(Missing),NA,69,Independent,Extremely liberal,About right,Too little,Too little,NA
235,0,29,12,12,16,12,NA,NA,Ged,Male,5,Working fulltime,40,NA,Someone else,Private,Health practitioner support technologists and technicians,Married,Marriage between a man and a woman,White,Yes,6,Favor,Not legal,None,NA,NA,Pretty happy,Fair,Routine,Ballot c,About right,About right,3,$25000 or more,$25000 or more,NA,69,Republican,Slghtly conservative,NA,NA,NA,NA
236,0,48,17,16,14,18,Computer science,NA,High school diploma,Female,1,Working fulltime,50,NA,Someone else,Private,"Meeting, convention, and event planners",Married,Marriage between a man and a woman,White,Yes,3,Oppose,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,2,Refused,$25000 or more,NA,69,Independent,Liberal,Too little,Too little,Too little,NA
237,4,62,10,12,6,NA,NA,NA,NA,Female,7,Working fulltime,40,NA,Someone else,Private,"Laborers and freight, stock, and material movers, hand",Widowed,NA,White,Yes,NA,Favor,NA,Protestant,No denomination,NA,Very happy,Good,Routine,Ballot a,Too little,NA,2,$25000 or more,$25000 or more,NA,69,NA,Moderate,NA,NA,NA,NA
238,4,88,12,10,17,NA,NA,NA,High school diploma,Female,4,Keeping house,NA,NA,Someone else,Government,Teacher assistants,Widowed,NA,White,Yes,4,Favor,Not legal,Protestant,No denomination,NA,Not too happy,Good,Routine,Ballot c,About right,Too much,1,(Missing),(Missing),NA,69,NA,Conservative,Too much,Too much,Too little,NA
239,4,65,18,14,14,18,Educational administration,NA,High school diploma,Male,3,Temp not working,NA,15,Someone else,Government,Elementary and middle school teachers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,3,$25000 or more,$25000 or more,NA,69,Independent,Slghtly conservative,NA,NA,NA,NA
240,0,28,13,NA,14,14,NA,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Private,Receptionists and information clerks,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Excellent,Routine,Ballot a,About right,About right,4,$25000 or more,(Missing),NA,69,NA,Slightly liberal,NA,Too little,Too little,NA
241,3,58,14,12,14,15,General studies,NA,High school diploma,Female,7,Working fulltime,40,NA,Someone else,Private,9170,Married,Marriage between a man and a woman,White,Yes,5,Favor,Not legal,Protestant,Other methodist,NA,Very happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,NA,69,Republican,Moderate,NA,NA,NA,NA
242,2,26,13,9,12,NA,NA,NA,High school diploma,Male,3,Working fulltime,45,NA,Someone else,Private,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Never married,NA,White,Yes,3,Favor,Legal,None,NA,NA,Pretty happy,Good,Routine,Ballot c,Too little,About right,4,$25000 or more,$25000 or more,NA,8,NA,Moderate,Too much,Too little,About right,NA
243,3,61,13,12,13,13,NA,NA,High school diploma,Female,5,Working fulltime,40,NA,Someone else,Private,Tellers,Married,Marriage between a man and a woman,White,Yes,5,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$25000 or more,$25000 or more,NA,8,NA,Extrmly conservative,NA,NA,NA,NA
244,3,30,13,NA,4,12,NA,NA,High school diploma,Female,4,Working fulltime,40,NA,Someone else,Private,"Office clerks, general",Married,Marriage between a man and a woman,White,Yes,NA,NA,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,Too little,About right,5,$25000 or more,$25000 or more,NA,8,NA,Slightly liberal,About right,Too little,About right,NA
245,0,22,14,20,NA,NA,NA,NA,High school diploma,Female,0,Working parttime,15,NA,Someone else,Private,Cleaners of vehicles and equipment,Never married,NA,White,Yes,Govt reduce diff,Favor,Legal,None,NA,NA,Not too happy,NA,NA,Ballot b,About right,About right,1,$6000 to 6999,(Missing),NA,8,Democrat,Liberal,About right,Too much,Too little,NA
246,0,24,12,12,12,NA,NA,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,First-line supervisors of food preparation and serving workers,Never married,NA,Other,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,3,(Missing),(Missing),NA,8,Democrat,Moderate,About right,About right,Too little,NA
247,2,29,12,NA,5,NA,NA,NA,High school diploma,Male,4,Working fulltime,40,NA,Self-employed,Private,Janitors and building cleaners,Never married,NA,Other,Yes,4,Favor,Legal,Catholic,NA,NA,Very happy,Good,Exciting,Ballot c,About right,About right,4,$25000 or more,$25000 or more,NA,8,NA,Moderate,NA,NA,NA,NA
248,1,70,13,7,14,NA,NA,NA,High school diploma,Male,2,Retired,NA,NA,Someone else,Private,Customer service representatives,Widowed,NA,White,Yes,3,Favor,Not legal,Protestant,Southern baptist,NA,Pretty happy,Poor,Exciting,Ballot c,About right,About right,1,$25000 or more,(Missing),East North Central,29,Independent,Moderate,NA,NA,NA,NA
249,0,34,16,NA,10,NA,Business administration,NA,High school diploma,Male,1,Working fulltime,NA,NA,Someone else,Private,"Sales representatives,  wholesale and manufacturing",Never married,NA,White,Yes,6,Oppose,Legal,None,NA,NA,Pretty happy,Good,Exciting,Ballot c,About right,Too little,1,Refused,Refused,East North Central,2696,Independent,Moderate,NA,NA,NA,NA
250,0,66,12,14,12,20,NA,NA,High school diploma,Male,1,Retired,NA,NA,Someone else,Private,Lawyers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Jewish,NA,NA,Very happy,Good,Exciting,Ballot a,About right,Too little,2,Refused,(Missing),East North Central,2696,Independent,Slghtly conservative,NA,NA,NA,NA
251,2,84,12,NA,NA,NA,NA,NA,High school diploma,Female,7,Retired,NA,NA,Someone else,Private,Registered nurses,Divorced,NA,White,Yes,3,Favor,Legal,None,NA,NA,Pretty happy,Good,Routine,Ballot c,About right,About right,1,$10000 - 14999,(Missing),East North Central,2696,Independent,Slghtly conservative,Too little,Too little,About right,NA
252,2,37,16,16,16,16,Business administration,NA,High school diploma,Male,2,Working fulltime,60,NA,Someone else,Private,Driver/sales workers and truck drivers,Married,Marriage between a man and a woman,White,Yes,6,Oppose,Legal,None,NA,NA,Very happy,NA,NA,Ballot b,About right,Too little,2,Refused,Refused,East North Central,2696,Independent,Slightly liberal,NA,NA,NA,NA
253,3,61,14,12,12,NA,Business administration,NA,High school diploma,Female,4,"Unempl, laid off",NA,NA,Self-employed,Private,Real estate brokers and sales agents,Divorced,NA,White,Yes,Govt reduce diff,Oppose,Legal,Protestant,Methodist-dk which,NA,Not too happy,NA,NA,Ballot b,About right,About right,2,$15000 - 19999,$6000 to 6999,East North Central,2696,NA,Liberal,NA,NA,NA,NA
254,7,58,12,NA,12,NA,NA,NA,High school diploma,Female,8,Keeping house,NA,NA,Someone else,Government,"Nursing, psychiatric, and home health aides",Never married,NA,Black,Yes,6,Oppose,Not legal,Protestant,Am baptist asso,NA,Pretty happy,NA,NA,Ballot b,About right,About right,1,$10000 - 14999,(Missing),East North Central,2696,Democrat,Conservative,Too much,Too much,Too little,NA
255,6,88,10,NA,12,NA,NA,NA,NA,Male,1,Retired,NA,NA,Someone else,Private,Janitors and building cleaners,Divorced,NA,Black,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Pretty happy,Fair,Routine,Ballot a,About right,Too little,1,$10000 - 14999,(Missing),East North Central,2696,Democrat,Slightly liberal,NA,NA,NA,NA
256,Eight or more,80,1,0,1,NA,NA,NA,NA,Female,8,Keeping house,NA,NA,NA,NA,NA,Separated,NA,Other,No,NA,Favor,NA,Protestant,Other,Jehovah's Witnesses,Pretty happy,Excellent,Exciting,Ballot a,Too much,About right,9,(Missing),(Missing),East North Central,2696,NA,Extremely liberal,NA,NA,NA,20
257,1,36,12,12,12,NA,NA,NA,Ged,Male,3,Working fulltime,48,NA,Someone else,Private,First-line supervisors of production and operating workers,Never married,NA,Other,No,4,Oppose,Legal,None,NA,NA,Pretty happy,Fair,Exciting,Ballot c,About right,About right,8,$25000 or more,$25000 or more,East North Central,2696,Independent,Moderate,Too much,Too little,Too little,34
258,0,33,16,12,12,NA,Health,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,Medical records and health information technicians,Never married,NA,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too much,4,$25000 or more,(Missing),East North Central,2696,Democrat,Liberal,About right,Too little,About right,NA
259,7,81,16,8,6,NA,Engineering,NA,High school diploma,Male,3,Retired,NA,NA,Self-employed,Private,"Engineering technicians, except drafters",Widowed,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,2,$25000 or more,(Missing),East North Central,2696,Independent,Moderate,NA,NA,NA,NA
260,3,31,12,8,8,12,NA,NA,Ged,Male,3,Working fulltime,40,NA,Someone else,Private,"Maintenance and repair workers, general",Married,Marriage between a man and a woman,Other,Yes,4,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,7,$25000 or more,$25000 or more,East North Central,2696,Democrat,Slghtly conservative,Too much,Too little,Too little,NA
261,3,69,16,16,12,16,Education,NA,High school diploma,Female,4,Retired,NA,NA,Someone else,Government,Librarians,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot a,About right,Too little,2,$25000 or more,(Missing),East North Central,13,Democrat,Liberal,About right,Too little,Too little,NA
262,0,26,16,19,16,NA,Music,NA,High school diploma,Male,1,Working fulltime,38,NA,Someone else,Private,First-line supervisors of retail sales workers,Never married,NA,White,Yes,Govt reduce diff,Oppose,Legal,Protestant,Other,"Unitarian, Universalist",Pretty happy,Excellent,Exciting,Ballot c,About right,Too little,3,$25000 or more,$10000 - 14999,East North Central,13,Democrat,Liberal,NA,NA,NA,NA
263,0,45,16,12,19,16,Economics,NA,High school diploma,Male,3,Working fulltime,70,NA,Someone else,Private,"Sales representatives,  wholesale and manufacturing",Married,Marriage between a man and a woman,White,Yes,5,Oppose,Legal,Christian,No denomination,NA,Very happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,East North Central,13,NA,Moderate,About right,Too little,About right,NA
264,1,54,16,12,12,16,History,NA,High school diploma,Female,4,Working parttime,30,NA,Self-employed,Private,Insurance sales agents,Married,Marriage between a man and a woman,White,Yes,6,Oppose,Legal,Protestant,Lutheran-mo synod,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,3,$25000 or more,(Missing),East North Central,13,NA,Conservative,NA,NA,NA,NA
265,2,61,16,12,12,18,Other,NA,High school diploma,Female,5,"Unempl, laid off",NA,NA,Someone else,Private,Customer service representatives,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too little,3,Refused,$25000 or more,East North Central,13,Independent,Slghtly conservative,About right,Too much,Too little,NA
266,0,19,13,18,18,NA,NA,NA,High school diploma,Male,1,School,NA,NA,NA,NA,NA,Never married,NA,White,Yes,2,Oppose,Legal,Buddhism,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,4,$25000 or more,(Missing),East North Central,13,Democrat,Liberal,About right,Too little,Too little,NA
267,2,58,16,6,0,NA,Economics,NA,High school diploma,Male,2,Working fulltime,42,NA,Someone else,Private,First-line supervisors of office and administrative support workers,Separated,NA,White,No,Govt reduce diff,Oppose,Legal,None,NA,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,East North Central,57,Independent,Liberal,NA,NA,NA,18
268,1,50,14,4,4,NA,General studies,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,"Claims adjusters, appraisers, examiners, and investigators",Divorced,NA,White,No,4,Oppose,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,East North Central,57,Independent,Moderate,NA,NA,NA,48
269,0,36,16,12,14,NA,Psychology,NA,High school diploma,Male,4,Working fulltime,40,NA,Someone else,Private,Billing and posting clerks,Never married,NA,Black,Yes,2,Oppose,Legal,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,East North Central,57,Democrat,Slightly liberal,NA,NA,NA,NA
270,1,27,12,NA,5,NA,NA,NA,High school diploma,Female,8,Working fulltime,40,NA,Someone else,Private,Maids and housekeeping cleaners,Never married,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Fair,Exciting,Ballot a,Too little,Too little,4,$25000 or more,$25000 or more,East North Central,57,Democrat,Liberal,NA,NA,NA,NA
271,0,51,12,5,6,NA,NA,NA,High school diploma,Male,6,Working fulltime,50,NA,Someone else,Private,"Metal workers and plastic workers, all other",Never married,NA,Other,Yes,2,Oppose,Not legal,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot c,About right,Too little,1,$25000 or more,$25000 or more,East North Central,30,Independent,Moderate,About right,Too little,About right,NA
272,2,48,18,6,2,14,Engineering,NA,High school diploma,Male,9,Working fulltime,50,NA,Someone else,Private,"Production, planning, and expediting clerks",Married,Marriage between a man and a woman,White,No,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Excellent,Exciting,Ballot a,About right,Too little,3,$10000 - 14999,(Missing),East North Central,30,Democrat,Slghtly conservative,NA,NA,NA,NA
273,2,29,14,4,12,NA,NA,NA,High school diploma,Female,5,Working fulltime,40,NA,Someone else,Private,Physical therapist assistants and aides,Never married,NA,White,Yes,Govt reduce diff,Oppose,Legal,Catholic,NA,NA,Not too happy,Good,Exciting,Ballot c,Too little,Too little,3,$25000 or more,$15000 - 19999,East North Central,30,Democrat,Slightly liberal,NA,NA,NA,NA
274,3,65,19,16,13,NA,Sociology,NA,High school diploma,Female,3,Working fulltime,35,NA,Someone else,Government,Teacher assistants,Divorced,NA,White,Yes,NA,Oppose,NA,Protestant,Evangelical luth,NA,Very happy,Good,Exciting,Ballot a,Too little,Too little,2,$25000 or more,$10000 - 14999,East North Central,44,Democrat,Extremely liberal,NA,NA,NA,NA
275,0,67,16,16,16,NA,Sociology,NA,High school diploma,Female,2,Retired,NA,NA,Someone else,Government,"Archivists, curators, and museum technicians",Never married,NA,White,Yes,3,Oppose,Not legal,Protestant,Presbyterian c in us,NA,Pretty happy,Good,Routine,Ballot c,About right,Too little,1,$25000 or more,$25000 or more,East North Central,44,Democrat,Liberal,NA,NA,NA,NA
276,1,53,16,13,12,18,Computer science,NA,High school diploma,Male,3,Working fulltime,70,NA,Someone else,Private,Chief executives,Married,Marriage between a man and a woman,White,Yes,4,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,East North Central,44,Democrat,Slightly liberal,NA,NA,NA,NA
277,2,45,18,18,18,16,Business administration,NA,High school diploma,Male,1,Working fulltime,55,NA,Someone else,Private,Chief executives,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,None,NA,NA,Very happy,Good,Exciting,Ballot c,About right,Too little,4,Refused,Refused,East North Central,44,Democrat,Liberal,NA,NA,NA,NA
278,1,36,15,12,12,NA,NA,NA,High school diploma,Female,3,Working parttime,25,NA,Someone else,Private,Personal care aides,Divorced,NA,White,Yes,Govt reduce diff,Favor,Legal,None,NA,NA,Pretty happy,Excellent,Exciting,Ballot c,About right,Too little,2,$25000 or more,$10000 - 14999,East North Central,30,Democrat,Liberal,About right,Too little,Too little,NA
279,1,60,12,12,12,12,NA,NA,High school diploma,Male,5,Working fulltime,40,NA,Someone else,Private,First-line supervisors of construction trades and extraction workers,Married,Marriage between a man and a woman,White,Yes,No govt action,Favor,Legal,None,NA,NA,Very happy,Excellent,Routine,Ballot c,About right,Too much,2,$25000 or more,$25000 or more,East North Central,30,NA,Extrmly conservative,NA,NA,NA,NA
280,3,63,16,10,12,16,Sociology,NA,High school diploma,Female,9,Working fulltime,40,NA,Someone else,Private,Chemical technicians,Married,Marriage between a man and a woman,Black,Yes,3,Oppose,Legal,Christian,No denomination,NA,Very happy,NA,NA,Ballot b,Too much,About right,5,Refused,$25000 or more,East North Central,30,Democrat,Moderate,Too much,About right,Too little,NA
281,1,52,12,14,12,NA,NA,NA,High school diploma,Female,1,Working fulltime,55,NA,Someone else,Private,Human resources managers,Divorced,NA,White,No,NA,Favor,NA,Protestant,Lutheran-dk which,NA,Pretty happy,Excellent,Exciting,Ballot a,Too little,About right,1,$25000 or more,$25000 or more,East North Central,30,Republican,Moderate,NA,NA,NA,48
282,3,34,13,14,18,12,NA,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Private,Retail salespersons,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Oppose,Legal,None,NA,NA,Very happy,Good,Routine,Ballot c,About right,About right,5,$25000 or more,$25000 or more,East North Central,30,Independent,Liberal,Too little,Too little,Too little,NA
283,0,58,14,12,12,14,NA,NA,High school diploma,Male,2,Working fulltime,52,NA,Someone else,Private,Janitors and building cleaners,Married,Marriage between a man and a woman,White,Yes,4,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,2,Refused,$25000 or more,East North Central,30,Republican,Slghtly conservative,NA,NA,NA,NA
284,1,63,12,12,12,16,NA,NA,High school diploma,Male,3,Retired,NA,NA,Someone else,Private,Civil engineers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Episcopal,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,2,$25000 or more,$25000 or more,East North Central,30,Republican,Slghtly conservative,Too little,Too little,About right,NA
285,0,71,16,12,8,NA,Business administration,History,High school diploma,Female,0,Retired,NA,NA,Someone else,Private,Chief executives,Divorced,NA,White,Yes,2,Favor,Legal,None,NA,NA,Very happy,Good,Exciting,Ballot c,Too little,Too little,2,$25000 or more,(Missing),East North Central,30,Democrat,Liberal,NA,NA,NA,NA
286,2,67,12,12,12,15,NA,NA,High school diploma,Female,4,Retired,NA,NA,Someone else,Private,Medical transcriptionists,Married,Marriage between a man and a woman,White,Yes,3,Oppose,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,3,$25000 or more,(Missing),East North Central,41,Democrat,Moderate,NA,NA,NA,NA
287,3,65,18,12,16,NA,General sciences,Education,High school diploma,Female,8,"Unempl, laid off",NA,NA,Someone else,Private,Marketing and sales managers,Divorced,NA,White,Yes,5,Favor,Legal,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,1,$25000 or more,$25000 or more,East North Central,41,Republican,Moderate,NA,NA,NA,NA
288,1,39,15,NA,13,NA,NA,NA,High school diploma,Female,0,Working fulltime,40,NA,Someone else,Private,First-line supervisors of office and administrative support workers,Never married,NA,White,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,3,$25000 or more,$25000 or more,East North Central,41,Republican,Slightly liberal,NA,NA,NA,NA
289,3,46,12,12,13,NA,NA,NA,High school diploma,Female,3,Working fulltime,44,NA,Someone else,Private,Miscellaneous assemblers and fabricators,Separated,NA,White,Yes,No govt action,NA,NA,Protestant,No denomination,NA,Very happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,(Missing),East North Central,41,NA,Moderate,NA,NA,NA,NA
290,4,83,12,NA,10,NA,NA,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Private,Secretaries and administrative assistants,Widowed,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Fair,Routine,Ballot a,About right,About right,1,$20000 - 24999,(Missing),East North Central,41,Democrat,Slightly liberal,NA,NA,NA,NA
291,1,59,17,12,12,NA,Engineering,NA,High school diploma,Male,2,Working fulltime,45,NA,Someone else,Private,Construction managers,Divorced,NA,White,Yes,No govt action,Favor,Legal,Protestant,Other,United Church of Christ,Very happy,Excellent,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,East North Central,41,Republican,Extrmly conservative,Too little,Too much,Too much,NA
292,1,63,19,16,12,19,Law,NA,High school diploma,Female,0,Working fulltime,30,NA,Someone else,Government,Other teachers and instructors,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Oppose,Legal,Catholic,NA,NA,Very happy,Good,Exciting,Ballot c,About right,Too little,2,Refused,Refused,East North Central,6,NA,Moderate,NA,NA,NA,NA
293,2,38,12,NA,11,NA,NA,NA,Ged,Female,2,Working fulltime,40,NA,Someone else,Private,Secretaries and administrative assistants,Never married,NA,White,Yes,No govt action,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,3,$25000 or more,$25000 or more,East North Central,6,Democrat,Moderate,Too little,Too little,NA,NA
294,2,50,12,12,12,NA,NA,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Private,First-line supervisors of retail sales workers,Divorced,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Fair,Routine,Ballot a,About right,Too much,2,$25000 or more,$25000 or more,East North Central,6,Republican,Slghtly conservative,NA,NA,NA,NA
295,0,18,11,NA,6,NA,NA,NA,High school diploma,Female,4,School,NA,NA,NA,NA,NA,Never married,NA,White,Yes,Govt reduce diff,Oppose,Not legal,None,NA,NA,Pretty happy,Good,Routine,Ballot c,Too little,About right,4,$1000 to 2999,(Missing),East North Central,6,NA,(Missing),About right,Too little,Too little,NA
296,3,45,16,12,11,12,Business administration,Mathmatics,High school diploma,Female,4,Working fulltime,40,NA,Someone else,Private,Credit counselors and loan officers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,3,$25000 or more,$25000 or more,East North Central,6,Independent,Liberal,About right,About right,Too little,NA
297,0,18,11,NA,18,NA,NA,NA,NA,Female,1,School,NA,NA,NA,NA,NA,Never married,NA,White,Yes,2,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,(Missing),South Atlantic,27,Republican,Slghtly conservative,About right,Too little,Too little,NA
298,0,39,20,20,20,NA,Computer science,NA,High school diploma,Male,0,Retired,NA,NA,NA,NA,NA,Never married,NA,Black,Yes,NA,Favor,NA,Protestant,Southern baptist,NA,Pretty happy,Good,Routine,Ballot a,NA,Too little,2,Refused,(Missing),South Atlantic,27,Democrat,Slightly liberal,NA,NA,NA,NA
